,Hydraulic_Pressure(bar),Spindle_Speed(RPM),Torque(Nm),Cutting(kN),Downtime
0,71.04,25892.0,24.05532601,3.58,Machine_Failure
1,125.33,19856.0,14.20288973,2.68,Machine_Failure
2,71.12,19851.0,24.04926704,3.55,Machine_Failure
3,139.34,18461.0,25.86002925,3.55,Machine_Failure
4,60.51,26526.0,25.51587386,3.55,Machine_Failure
5,137.37,27613.0,25.52133005,3.55,Machine_Failure
6,135.93,26605.0,25.45465209,3.58,Machine_Failure
7,127.7151635,14266.0,34.97300419,2.02,No_Machine_Failure
8,123.618456,20413.0,32.51929855,2.88,No_Machine_Failure
9,134.02,20504.0,25.61856721,3.93,Machine_Failure
10,71.71,17919.0,25.46144,3.67,Machine_Failure
11,134.54,21951.0,25.61306937,3.59,Machine_Failure
12,55.53,25528.0,25.46415618,3.69,Machine_Failure
13,61.73,18660.0,25.58424437,3.55,Machine_Failure
14,80.27,18644.0,25.60620039,3.67,Machine_Failure
15,142.36,18648.0,25.60070785,3.69,Machine_Failure
16,63.76,18650.0,25.59796247,3.67,Machine_Failure
17,141.14,18654.0,25.59247346,3.61,Machine_Failure
18,93.65,23432.0,25.46551448,3.67,Machine_Failure
19,74.86,21951.0,25.52269447,2.49,Machine_Failure
20,80.34,27957.0,25.46008213,3.61,Machine_Failure
21,139.6712071,20303.0,23.51386495,2.83,No_Machine_Failure
22,91.5,26605.0,25.46687293,3.13,Machine_Failure
23,148.662548,20310.0,23.50576071,2.68,No_Machine_Failure
24,131.0481918,20298.0,23.51965711,2.9,No_Machine_Failure
25,145.2990279,20297.0,23.52081588,2.69,No_Machine_Failure
26,98.7,18638.0,25.61444361,3.49,Machine_Failure
27,170.0894611,20018.0,23.84863623,2.71,No_Machine_Failure
28,62.34,20504.0,25.45193794,2.73,Machine_Failure
29,111.7502053,20016.0,23.85101918,2.58,No_Machine_Failure
30,127.5689918,20018.0,23.84863623,2.82,No_Machine_Failure
31,111.2860766,20314.0,23.50113222,2.62,No_Machine_Failure
32,124.9137633,13272.0,23.39288514,2.64,No_Machine_Failure
33,125.95,18755.0,25.45465209,3.91,Machine_Failure
34,72.38,27613.0,24.46208239,3.33,Machine_Failure
35,78.33,26526.0,24.472114,2.71,Machine_Failure
36,128.8976615,15217.0,35.5812209,2.17,No_Machine_Failure
37,96.96,19440.0,14.20288973,3.49,Machine_Failure
38,145.98,19457.0,24.53625944,3.93,Machine_Failure
39,51.16,19577.0,24.38586096,3.59,Machine_Failure
40,120.6057212,14152.0,33.92336502,3.0,No_Machine_Failure
41,85.82,19456.0,14.10999444,2.68,Machine_Failure
42,58.6,19443.0,17.89931102,2.86,Machine_Failure
43,127.4593591,17726.0,35.58033366,1.85,No_Machine_Failure
44,103.5761466,14152.0,23.13778898,2.92,No_Machine_Failure
45,57.3,19784.0,16.96410507,2.75,Machine_Failure
46,107.9309707,19197.0,31.62033518,1.91,No_Machine_Failure
47,116.0745108,18436.0,30.51400825,1.89,No_Machine_Failure
48,121.6326698,17726.0,35.58033366,1.95,No_Machine_Failure
49,134.2142583,16198.0,23.3004051,1.99,No_Machine_Failure
50,135.8119306,15217.0,23.31861476,1.88,No_Machine_Failure
51,106.1276855,20470.0,23.32203224,1.88,No_Machine_Failure
52,134.3099363,17726.0,23.3004051,2.88,No_Machine_Failure
53,138.7899732,14266.0,23.3004051,2.82,No_Machine_Failure
54,91.54,18592.0,16.44955444,3.13,Machine_Failure
55,75.53,18594.0,15.1197393,2.59,Machine_Failure
56,58.7,18594.0,14.20288973,2.42,Machine_Failure
57,99.56,18590.0,15.90071615,3.33,Machine_Failure
58,148.9266008,20143.0,23.70064042,2.95,No_Machine_Failure
59,168.7970173,20066.0,23.79158776,2.02,No_Machine_Failure
60,109.0406761,14152.0,23.73363162,2.11,No_Machine_Failure
61,131.2658541,20033.0,28.38124,2.01,No_Machine_Failure
62,118.8639284,20096.0,23.75607086,3.0,No_Machine_Failure
63,132.8214064,17726.0,23.8331586,2.01,No_Machine_Failure
64,111.6968659,20048.0,23.81294892,2.17,No_Machine_Failure
65,141.5189961,20908.0,22.83346088,1.86,No_Machine_Failure
66,124.8479541,22802.0,20.93684764,1.87,No_Machine_Failure
67,96.371232,22313.0,21.39568861,2.88,No_Machine_Failure
68,99.26714472,20132.0,23.7135903,1.99,No_Machine_Failure
69,120.8177826,20063.0,23.79514529,1.95,No_Machine_Failure
70,125.4182022,20096.0,23.75607086,2.93,No_Machine_Failure
71,122.3091411,16198.0,28.38124,1.89,No_Machine_Failure
72,91.77,18662.0,17.89931102,2.63,Machine_Failure
73,114.6794626,21253.0,28.38124,2.89,No_Machine_Failure
74,64.22,18696.0,17.89931102,2.71,Machine_Failure
75,72.19,18677.0,15.1197393,3.91,Machine_Failure
76,75.27,18703.0,16.44955444,2.68,Machine_Failure
77,59.08,18697.0,14.20288973,2.48,Machine_Failure
78,99.19,18695.0,15.1197393,2.55,Machine_Failure
79,81.6,18660.0,16.96410507,2.55,Machine_Failure
80,95.84,25177.0,16.96410507,2.64,Machine_Failure
81,95.29,18676.0,15.90071615,2.53,Machine_Failure
82,91.7,18670.0,16.44955444,2.63,Machine_Failure
83,69.97,18684.0,14.44705039,2.77,Machine_Failure
84,50.59,18658.0,14.20288973,2.49,Machine_Failure
85,88.11,18656.0,15.1197393,2.56,Machine_Failure
86,111.1404806,20078.0,23.77736826,2.64,No_Machine_Failure
87,50.24,19579.0,15.90071615,3.55,Machine_Failure
88,87.17,19691.0,17.89931102,3.67,Machine_Failure
89,88.95,19652.0,16.96410507,3.69,Machine_Failure
90,82.01,25528.0,24.38212462,2.85,Machine_Failure
91,50.39,23432.0,24.47336853,3.33,Machine_Failure
92,145.0208641,15217.0,22.87613206,1.89,No_Machine_Failure
93,90.57,19502.0,17.89931102,2.62,Machine_Failure
94,54.6,19496.0,15.90071615,2.53,Machine_Failure
95,98.76,21951.0,15.1197393,2.55,Machine_Failure
96,73.49,17919.0,24.49597209,3.53,Machine_Failure
97,127.2746824,13272.0,22.74100891,2.17,No_Machine_Failure
98,111.8059937,19197.0,22.73775957,2.02,No_Machine_Failure
99,117.1226605,16198.0,22.80837036,1.91,No_Machine_Failure
100,123.0958075,14266.0,22.88490485,1.95,No_Machine_Failure
101,123.7002566,14152.0,22.91346292,1.99,No_Machine_Failure
102,127.1,19657.0,16.96410507,2.59,Machine_Failure
103,139.9493345,20862.0,22.88380788,3.0,No_Machine_Failure
104,139.434025,13272.0,23.13891043,1.88,No_Machine_Failure
105,139.434025,19197.0,23.3585478,2.72,No_Machine_Failure
106,70.52,18463.0,15.1197393,3.67,Machine_Failure
107,82.34,26605.0,15.90071615,3.49,Machine_Failure
108,76.22,26526.0,16.96410507,3.93,Machine_Failure
109,89.93,27613.0,17.89931102,3.59,Machine_Failure
110,87.05,20504.0,16.44955444,3.91,Machine_Failure
111,92.38,21951.0,14.20288973,3.61,Machine_Failure
112,134.1482237,18436.0,23.34255819,2.65,No_Machine_Failure
113,159.7620133,17726.0,23.29585712,2.85,No_Machine_Failure
114,95.68,23432.0,15.1197393,3.58,Machine_Failure
115,83.33,25528.0,14.20288973,3.55,Machine_Failure
116,171.0,17919.0,14.10999444,3.55,Machine_Failure
117,68.27,27957.0,14.44705039,3.67,Machine_Failure
118,67.14,20504.0,15.90071615,3.67,Machine_Failure
119,59.37,26605.0,17.89931102,3.61,Machine_Failure
120,97.64,27613.0,16.96410507,2.69,Machine_Failure
121,93.05,26526.0,15.1197393,2.53,Machine_Failure
